city,entropy_type,n,n_covariates,ols_r2,ols_adj_r2,ols_catchment_coef,ols_catchment_se,ols_catchment_t,ols_catchment_p,ols_aic,ols_schwarz,w1_mean_neighbors,w1_n_nonzero,w1_cutoff_m,w1_decay_alpha,w2_mean_neighbors,w2_n_nonzero,pois_near_transit,pois_near_transit_pct,w1ex_mean_neighbors,w1ex_n_nonzero,w1_rho,w1_rho_se,w1_rho_z,w1_rho_p,w1_rho_ci_lower,w1_rho_ci_upper,w1_rho_stationary,w1_pr2,w1_sig2,w1_catchment_coef,w1_catchment_se,w1_catchment_z,w1_catchment_p,w2_rho,w2_rho_se,w2_rho_z,w2_rho_p,w2_rho_ci_lower,w2_rho_ci_upper,w2_rho_stationary,w2_pr2,w2_sig2,w2_catchment_coef,w2_catchment_se,w2_catchment_z,w2_catchment_p,w1ex_rho,w1ex_rho_se,w1ex_rho_z,w1ex_rho_p,w1ex_rho_ci_lower,w1ex_rho_ci_upper,w1ex_rho_stationary,w1ex_pr2,w1ex_sig2,w1ex_catchment_coef,w1ex_catchment_se,w1ex_catchment_z,w1ex_catchment_p,country
US - new_york,birth,127623,7,0.6414563639292055,0.6414366969194301,0.520520470585943,0.0021775224035994888,239.04253280035698,0.0,-287714.27143798023,-287636.21675090474,662.0377831582082,84491248.0,800,1.0,19.37443877670953,2472624.0,102929.0,80.6508231274927,642.9690573015836,82057640.0,0.7694738917338384,0.004618336928080676,166.61276639546136,0.0,0.7604219513548003,0.7785258321128765,True,0.8134067586394675,0.003212201504582094,0.08760940586117272,0.003038152127152193,28.836411803806957,7.50162694430856e-183,0.038720996340882774,0.0006721241336126568,57.60988841861401,0.0,0.03740363303900197,0.04003835964276358,True,0.6580550240924202,0.00585916970713779,0.4664324044755759,0.002324557623853691,200.65426629532905,0.0,0.6088318036155442,0.004040507085548012,150.68202844964662,0.0,0.6009124097278701,0.6167511975032184,True,0.7782724468677072,0.0038163181709745565,0.1657974402953215,0.0029132954974130324,56.910615638731954,0.0,US
US - washington_dc,birth,19615,7,0.5135266271192173,0.5133529486569249,0.2072911399700068,0.006784584375794554,30.553255511061515,2.4938423231582156e-200,-40680.128894656285,-40617.05649578714,139.3229671170023,2732820.0,800,1.0,14.638490950802957,287134.0,15423.0,78.6286005607953,124.86321692582207,2449192.0,0.4967384792209373,0.019660355521731093,25.265996775687984,7.556365599673444e-141,0.4582041823983443,0.5352727760435302,True,0.6629333220061165,0.00514603422858582,0.0998068360937765,0.007092126082411156,14.07290774783357,5.572997012643542e-45,0.025336009773423873,0.0016694991311903776,15.175814889678273,5.113866430089604e-52,0.022063791476290732,0.028608228070557015,True,0.5246347767911004,0.007185489962125317,0.18955158371681335,0.00680653484126154,27.848470350543508,1.1240752360728871e-170,0.2392015035019881,0.009357784885097144,25.56176557156506,4.06295334026306e-144,0.2208602451271977,0.2575427618767785,True,0.5793537803145556,0.006370721940468441,0.14643928707878562,0.006747691402428942,21.702131639581562,1.9586920180246293e-104,US
US - atlanta,birth,28514,7,0.6742280116501786,0.6741480143191448,0.33176393887242384,0.0044399900275758275,74.72177568235718,0.0,-46673.617741207665,-46607.552537417956,105.88328540366136,3019156.0,800,1.0,9.56638844076594,272776.0,21998.0,77.14806761590798,96.9151995510977,2763440.0,0.5140843211109143,0.014165486269094247,36.29132889228978,2.2168834884024323e-288,0.4863199680234896,0.541848674198339,True,0.7677883559517615,0.008146051234492737,0.13709217895694792,0.006547750273028755,20.93729498537121,2.449788481576124e-97,-0.01111556266115915,0.002263548482473177,-4.910680176381364,9.076101657767876e-07,-0.015552117686806578,-0.006679007635511724,True,0.672718030004262,0.011439570314983175,0.33450308283285324,0.004484477111710157,74.59132346988171,0.0,0.2721391280199441,0.008757415741110346,31.075277920451885,5.1984161075996e-212,0.2549745931673678,0.2893036628725204,True,0.7192526455185321,0.009822848055465114,0.2234439981507803,0.0053992130880737566,41.384548915904524,0.0,US
Sweden - Stockholm,birth,16214,7,0.05421826507706329,0.053809745260670616,0.1732831329342197,0.018844133851865157,9.195600832408036,4.173107028972089e-20,-18542.15952365924,-18480.61048089486,1227.5104847662515,19902855.0,800,1.0,28.460466263722708,461458.0,16111.0,99.3647465153571,1199.046132971506,19441334.0,0.8356735351420355,0.051263346239731986,16.30157990924013,9.617363227024205e-60,0.7351973765121608,0.9361496937719102,True,0.0839447274130944,0.01809710987025575,0.016056763360854376,0.020919246556335005,0.7675593534219273,0.4427490184379633,-0.02656343761674318,0.008315756281720243,-3.194350184977778,0.001401460042901175,-0.04286231992891486,-0.010264555304571505,True,0.052549065580046135,0.01867326336505205,0.17788231468910887,0.018911248602689064,9.406164469955469,5.145721896669789e-21,0.2394104855923409,0.023216984438110176,10.311868288947714,6.227866882355274e-25,0.19390519609364495,0.2849157750910368,True,0.06497952440472667,0.01842836357521495,0.13787506769986813,0.019044410492515703,7.239660568860973,4.498090571003062e-13,Sweden
Sweden - Göteborg,birth,7677,7,0.12003221511782192,0.11922901072426662,0.23942517511988104,0.03275422916559322,7.30974842697217,2.946350466032039e-13,-8056.954209063466,-8001.386336064843,459.1038165950241,3524540.0,800,1.0,,,,,,,0.8477042660696554,0.05695256348151596,14.884391750773066,4.162547863726965e-50,0.7360772416458842,0.9593312904934267,True,0.19256987052960584,0.018825557644049664,0.0371778846502977,0.034218498175792866,1.086484990057173,0.2772644781047462,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden
Sweden - Malmö,birth,5567,7,0.07870444752441474,0.07754433439843367,0.3237885380406027,0.05675310611390187,5.705212634366977,1.2219760844811728e-08,-6369.230445459074,-6316.233552753606,486.75390695167954,2709759.0,800,1.0,,,,,,,0.8912476851226074,0.09779803184596443,9.11314541100741,8.002744361093858e-20,0.6995635427045171,1.0829318275406976,True,0.11980726837774601,0.017870991386611707,-0.007532365095705984,0.0664290828149734,-0.11338956939517095,0.9097217087960063,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden
Sweden - Uppsala,birth,3315,7,0.04707720406156379,0.04506013131539843,0.043375297189190753,0.05296609511612564,0.8189257126486761,0.4128878076778039,-3599.6833716687847,-3550.833668447825,292.43800904977377,969432.0,800,1.0,8.827752639517346,29264.000000000004,3244.0,97.85822021116138,283.60422322775264,940148.0,0.9651760881190512,0.13318094435182515,7.247103501303744,4.2577860604946306e-13,0.7041414371894739,1.2262107390486285,True,0.07271995626870573,0.01981231866307237,-0.02199644994533223,0.053851916824265086,-0.4084617826532197,0.6829346828227059,-0.005313984687497442,0.015467493955201308,-0.34355821976645995,0.7311785498650041,-0.035630272839692,0.02500230346469712,True,0.04625449761073578,0.019688633764660055,0.04812484860329125,0.05470086154242887,0.8797822784923247,0.3789772666767546,0.271073998284578,0.050224706701002333,5.397224117172758,6.767982661476713e-08,0.17263357315061345,0.36951442341854257,True,0.06238323507086828,0.019355785584573577,-0.0646890076890525,0.056165824234003056,-1.151750349456983,0.24942367585450587,Sweden
Sweden - Västerås,birth,2224,7,0.03362440998733285,0.030571779513466124,0.14131616049527906,0.04559707635862036,3.099237314774953,0.001964564369737844,-1789.8792148179177,-1744.222713574954,163.36870503597123,363332.0,800,1.0,,,,,,,0.7230325310488297,0.2552933303447129,2.832163809655921,0.00462341562547042,0.22265760357319242,1.223407458524467,True,0.060065906730583915,0.025604014308508713,0.004261548471035326,0.06619898043899064,0.06437483542458472,0.9486717668778596,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden
Sweden - Örebro,birth,2414,7,0.03949768633313966,0.03670320744882216,0.11337101376532743,0.039159683565607666,2.8950952470130917,0.00382459135585235,-3057.4820357324893,-3011.1697125192295,297.77299088649545,718824.0,800,1.0,,,,,297.7671913835957,718810.0,0.8043135013795393,0.21413576661584857,3.756091353120131,0.0001725877163929527,0.3846073988124761,1.2240196039466025,True,0.05625632930328459,0.016392417508612547,0.011818554976045448,0.04753508885161163,0.24862801903955525,0.8036485328699606,,,,,,,,,,,,,,0.13908698326419966,0.08172223741554249,1.7019478132612549,0.08876515159293857,-0.021088602070263612,0.29926256859866296,True,0.05240654498803123,0.016176927231490723,0.08605394228825158,0.04202526219236783,2.047671752631677,0.04059217344848517,Sweden
Sweden - Linköping,birth,2328,7,0.05195562384392294,0.04909514512276236,0.14860989855227835,0.05009386297373715,2.966628838949603,0.003041602038035296,-2279.570601582004,-2233.5484831111935,268.16451890034364,624287.0,800,1.0,,,,,,,0.9081299915194165,0.16770245680823012,5.415126342232867,6.124544456999692e-08,0.5794331761752856,1.2368268068635475,True,0.08915942736581539,0.021399251700525805,0.02004373306438545,0.054898352106823076,0.3651062790625058,0.7150320739706699,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden
Sweden - Helsingborg,birth,2380,7,0.07000815886373146,0.06726366354840518,-0.14304789391196948,0.06422930373829905,-2.227143773733172,0.026031184953612594,-2070.129352592735,-2023.9305064594107,243.51470588235293,579565.0,800,1.0,,,,,,,0.8912960749707963,0.13705983076281852,6.50297078298003,7.874909540795502e-11,0.622658806675672,1.1599333432659207,True,0.09870576250605505,0.023950298553664096,-0.05264902206639732,0.06506894963201532,-0.8091266627806895,0.41844229316500303,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden
Sweden - Lund,birth,2000,7,0.014965466405294725,0.011503999670775089,0.025959304685080564,0.11632327390684835,0.2231651827979736,0.8234298300954664,-2407.5485741603943,-2362.741354484058,354.4605,708921.0,800,1.0,,,,,,,0.5631071199833286,0.22969199366301793,2.4515748720848554,0.014223259292631648,0.11291081240381351,1.0133034275628439,True,0.019722204584589096,0.01742985444925009,-0.10237689204586786,0.12735159262521703,-0.8038917294670416,0.42145950693311307,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden
US - new_york,income,127623,7,0.16424928979616127,0.16420999610053355,0.3313585697057956,0.0021661047766700237,152.97439591781736,0.0,19444.67146308192,19512.969314272952,662.0377831582082,84491248.0,800,1.0,19.37443877670953,2472624.0,102929.0,80.6508231274927,642.9690573015836,82057640.0,0.9563142428898175,0.01800787846500889,53.105325246837474,0.0,0.9210188010984001,0.9916096846812349,True,0.4771917385962689,0.04277022605362031,0.022055124744476018,0.006071753973637309,3.6324140998196284,0.0002807820588197145,0.07318263667427516,0.00578095940382851,12.659254556572233,9.94390774546887e-37,0.061851956242771275,0.08451331710577904,True,0.19596029893819228,0.06568764561060085,0.28420276821449875,0.004289057701481358,66.2622860299456,0.0,0.9113772808063914,0.015238162707681052,59.80886923769336,0.0,0.8815104818993365,0.9412440797134463,True,0.4243284899421297,0.047042729495701464,0.0386221221737344,0.005214760610298099,7.406307798187995,1.2986422854106774e-13,US
