City,Country,Dimension,N POIs,Mean Coef,SD Coef,Min Coef,Max Coef,% Positive,% Hotspot,% Coldspot,Mean R2
Stockholm,Sweden,Birth,35323,0.052928724353260355,0.8432822013739165,-7.504016738587047,2.605218311267465,58.08396795289188,2.304447527106984,0.5662033236135096,0.1045614884774241
Gothenburg,Sweden,Birth,15589,0.19560971530461496,0.7694372219876675,-3.710093321372118,3.928637266037094,63.102187439861446,1.7576496247353903,0.0449034575662326,0.2281226641448271
Malmö,Sweden,Birth,11822,0.14035154285035029,0.5983001577392505,-2.0053764556086064,3.9195768670927014,60.36203688039249,1.091185924547454,0.236846557266114,0.1965106787054
Uppsala,Sweden,Birth,6936,0.2088452516181485,8.35304798199641,-71.4296477486212,687.3370851700691,62.399077277970015,2.811418685121107,0.4181084198385236,0.1881268961361047
Helsingborg,Sweden,Birth,4696,0.20888481242457382,0.7568443115447148,-3.1166481875459273,3.921814945245248,75.72402044293015,4.109880749574105,0.9369676320272572,0.1520489129237134
Lund,Sweden,Birth,4687,0.012777454326027931,0.5432514151009925,-1.9683219541686414,2.5131135597425813,59.312993385961164,0.6187326648175805,0.0,0.0854017815500686
Västerås,Sweden,Birth,4567,0.0901734069940122,0.1721540743014847,-0.7106254918477941,0.7007310204494284,67.44033282242172,3.3939128530764178,0.0,0.1110050806993456
Örebro,Sweden,Birth,4413,-0.011052739480244727,0.5104884216417199,-2.6803062825648554,1.4247778954950423,58.21436664400635,0.9290731928393384,1.1556764106050306,0.1349564575185409
Linköping,Sweden,Birth,4355,0.11348990240563156,1.0669609793334336,-5.19291801222013,12.827742483109699,59.70149253731343,1.4695752009184846,0.0,0.2051153028357575
New York,US,Birth,143702,0.2715713982653589,0.23271971463264748,-0.5774380476233543,1.3145002695506616,91.00082114375583,60.12164061738876,1.186483138717624,0.795408950971379
Atlanta,US,Birth,34354,0.11807693197952175,0.3166683277818933,-2.9141134159906974,2.2020796627962107,68.85078884554929,12.132502765325729,1.5049193689235605,0.76638706833188
Washington DC,US,Birth,24599,0.9145838565798105,133.59380905457414,-386.07062715213317,20895.936151538517,62.596040489450786,7.488109272734664,2.065124598560917,0.6734959286922332
Stockholm,Sweden,Income,35323,0.030710292051343048,0.5625769760039987,-2.8729236609281172,2.7511759495882835,57.209183817909015,1.404184242561504,0.1273957478130396,0.0647486211062339
Gothenburg,Sweden,Income,15589,0.052114123390079495,0.3537315176425774,-1.7357036935318009,5.4416777242404955,70.28674065045865,6.49175700814677,0.0,0.0620182661812441
Malmö,Sweden,Income,11822,0.062136758905806416,0.09092635078774217,-0.3166152377041498,0.6505651025237077,84.63880900016918,3.3243106073422437,0.0,0.0246091580410982
Uppsala,Sweden,Income,6936,0.0867436503519174,0.2376817523111862,-0.8039303327377118,1.1229365886805365,61.173587081891576,3.3737024221453287,0.0,0.0393652248447617
Helsingborg,Sweden,Income,4696,-0.18210062410081573,1.1572794104844026,-8.309324018713337,1.945524701992096,58.730834752981266,0.702725724020443,2.8534923339011926,0.059848768892275
Lund,Sweden,Income,4687,0.08372119325591726,0.4767014851044963,-2.7496136797897046,3.2607157618561518,58.75826754853851,1.4508214209515682,1.920204821847664,0.1179494768032871
Västerås,Sweden,Income,4567,0.09455960748838148,0.5459097110940959,-1.6928302345030155,3.8728329453723935,57.7622071381651,2.53996058681848,0.0,0.0641767188142883
Örebro,Sweden,Income,4413,0.04261241120919853,0.4325270476548618,-2.44536975568192,2.2078944629587114,65.57897122139134,2.33401314298663,0.0,0.060421684485509
Linköping,Sweden,Income,4355,-0.887169242694299,2.515434722298939,-15.54746800209317,8.493431602961987,43.375430539609646,4.018369690011481,2.6176808266360507,0.1502693212308173
New York,US,Income,110021,0.06400471316978855,0.285415871130337,-5.8212010356318755,56.27297927009514,66.02830368747784,20.055262177220712,5.247180083802183,0.2403195475210005
Atlanta,US,Income,32312,0.9370838219060531,158.08834955402915,-80.20737064522069,28415.637287860656,69.62428819014607,17.813815300817033,8.219856400099035,0.2679547651606506
Washington DC,US,Income,18750,0.2500439614147932,3.832850214793501,-223.6292741449477,323.297372324131,61.648,8.208,2.128,0.2961200471791478
