City,Country,N POIs,Moran's I (Birth),HH% (Birth),LL% (Birth),Moran's I (Income),HH% (Income),LL% (Income)
Gothenburg,Sweden,16685,0.2370046031472575,9.26580761162721,14.46808510638298,0.0824528851401253,8.516631705124363,3.620017980221756
Helsingborg,Sweden,5275,0.1609282661037663,11.43127962085308,10.691943127962086,0.0770531928069766,9.137440758293838,3.4502369668246446
Linköping,Sweden,5311,0.1821255048177834,7.36207870457541,10.148747881754849,0.1491259319312825,8.661269064206364,3.803426849934099
Lund,Sweden,4824,0.0805771498940907,4.995854063018242,5.659203980099503,0.0976129042900997,9.80514096185738,3.130182421227197
Malmö,Sweden,12610,0.1969696136360691,14.274385408406028,12.846946867565425,0.0490636749164434,10.4203013481364,3.727200634417129
Stockholm,Sweden,35842,0.127467433002085,5.959488867808716,5.5856258021315774,0.0750703615494298,11.882707438200994,4.899280174097427
Uppsala,Sweden,7933,0.1671826181266646,10.714735913273667,10.122274045127948,0.0665128644198496,12.8072608092777,2.294214042606832
Västerås,Sweden,5263,0.1424460728752314,9.424282728481854,9.747292418772563,0.0584023361745396,6.099182975489264,3.0210906327189817
Örebro,Sweden,5407,0.1310253188250997,5.344923247641946,7.120399482152765,0.0883859997328776,5.770297762160163,4.494174218605512
New York,US,148627,0.8330170755569011,38.56432545903503,17.720871712407572,0.5276729568019035,25.142807161552074,20.167264359773124
Atlanta,US,34354,0.7748629166537654,26.19491180066368,28.8670897129883,0.4046862297961586,25.155731501426327,14.790126331722652
Washington DC,US,24599,0.667399768424293,31.24517256799057,16.27301922842392,0.4028911599428869,28.0499207284849,17.488515793324932
