City,Country,N POIs,Moran I (Birth),HH% (Birth),LL% (Birth),Moran I (Income),HH% (Income),LL% (Income)
Sweden - Stockholm,Sweden,35323,0.127183520931729,7.433333333333334,6.14,0.0745530054400342,10.716666666666669,4.18
Sweden - Göteborg,Sweden,15589,0.2378607577223505,12.406283470189218,11.067475901463762,0.0782477377939654,9.954778055456384,4.272283708199453
Sweden - Malmö,Sweden,11822,0.2031177365248925,13.154574132492112,12.129337539432177,0.0501840655637427,8.927444794952681,3.0205047318611986
Sweden - Uppsala,Sweden,6936,0.1706509509322765,9.902080783353734,9.767441860465116,0.0693773358193072,11.248470012239904,2.8886168910648715
US - new_york,US,143702,0.8095257066438328,39.329268292682926,23.3373511060692,0.432124872309903,22.794951786727168,19.498014747589338
US - atlanta,US,34354,0.7748629166537654,29.437880678065603,29.07096206061496,0.357189194790438,27.75372422396713,15.707786013062302
US - washington_dc,US,24599,0.667399768424293,40.212281474952256,23.83575730865286,0.3494516338048605,24.092845600117528,13.085794035551638
