city,venue_category,entropy_type,n,success,r2,adj_r2,aic,effective_df,df_residual,bandwidth,tr_S,n_eff,alpha_corrected,beta_catchment_mean,beta_catchment_std,beta_catchment_cv,beta_catchment_min,beta_catchment_q25,beta_catchment_median,beta_catchment_q75,beta_catchment_max,beta_catchment_iqr,beta_residential_mean,beta_residential_std,beta_residential_cv,n_hotspots,hotspot_pct,n_coldspots,coldspot_pct,n_nonsig,nonsig_pct,error
US - new_york,all,birth,148413,True,0.7939305743069032,0.7929822880104473,-411718.7065446431,679.8310370500897,147733.16896294992,1486.0,679.8310370500897,218.3086559919226,0.00022903352032843812,0.1495049410619044,0.8337888391327488,5.576998547409266,-5.798928449621034,-0.14222561489329197,0.11186876776127773,0.45240170821190384,8.425513637557195,0.5946273231051958,0.2853107879963391,0.16012134856049187,0.5612172946034779,48162.0,32.45133512562916,12029.0,8.105085134051599,88222.0,59.443579740319244,
US - new_york,food_dining,birth,50677,True,0.8031214514207516,0.8004737576871059,-147091.4540451413,672.4655668892947,50004.534433110704,507.0,672.4655668892947,75.35999238507145,0.0006634820203339727,0.21038788575370648,0.8819548914871319,4.192042181171994,-4.353417786935586,-0.197249576901664,0.1280065827086053,0.5231511288624198,6.983334246258681,0.7204007057640838,0.3516370524503809,0.1574191595513704,0.4476751197133403,9826.0,19.389466621938947,1532.0,3.0230676638317187,39319.0,77.58746571422934,
US - new_york,entertainment_recreation,birth,9667,True,0.8140606409225004,0.800552916341436,-29018.493338778764,654.6381296007606,9012.36187039924,97.0,654.6381296007606,14.766936973096179,0.0033859425343993003,0.13459705530078628,1.5092614989869748,11.213183643685243,-13.127388760567566,-0.38067264406191725,0.09184580131399196,0.5831751303577543,20.616409595830575,0.9638477744196715,0.17091086515935489,0.17174023927586313,1.00485267051767,743.0,7.685941864073652,350.0,3.620564808110065,8574.0,88.69349332781628,
US - new_york,accommodation_travel,birth,4200,True,0.8514808482843355,0.8362653695465994,-13664.89328398621,390.2033127801716,3809.7966872198285,72.0,390.2033127801716,10.76361953484016,0.004645277533097281,0.2469195105899562,1.2888408409214398,5.21968004003433,-8.535795682979895,-0.2754912784288947,0.14441187959973195,0.6064490241808514,7.517540026123057,0.8819403026097461,0.3881157177943679,0.20053212453927838,0.5166812766019557,374.0,8.904761904761905,19.0,0.4523809523809524,3807.0,90.64285714285714,
US - new_york,education_higher,birth,693,True,0.6865113675964032,0.6593967958351411,-1742.231360557684,55.08839444068047,637.9116055593196,89.0,55.08839444068047,12.579782130812086,0.0039746316335267295,0.5039393457791242,0.3592211365800482,0.7128261359006768,-0.5204991562889913,0.28275588194615175,0.4830141993005959,0.7329865225728943,1.4701110015164296,0.45023064062674256,0.24737466184344434,0.13123994604608377,0.5305310781147885,149.0,21.5007215007215,0.0,0.0,544.0,78.4992784992785,
US - new_york,civic_community,birth,826,True,0.8595213014002174,0.8411367770932439,-2126.9193438274224,95.47352921421918,730.5264707857808,60.0,95.47352921421918,8.651612722377305,0.0057792693228946234,0.13284809331679903,0.5643433923800086,4.24803531831078,-3.6730838283005958,-0.03913377693134683,0.11289711883404227,0.3858986040153889,1.9915012588215182,0.42503238094673573,0.3890436779963791,0.16612401669624202,0.42700608207232754,90.0,10.895883777239709,1.0,0.12106537530266344,735.0,88.98305084745763,
US - new_york,other,birth,82350,True,0.8003185860867288,0.7986775635393131,-222928.16383239048,671.244438190187,81678.75556180981,824.0,671.244438190187,122.68258076302655,0.00040755582160909964,0.1545856572016255,0.759165803662283,4.910971802979793,-3.9267928227882907,-0.11524683344025023,0.12041110620129253,0.4484691727476838,12.042091136346363,0.563716006187934,0.31827737148375795,0.1603345166070908,0.5037571972510552,21140.0,25.6709168184578,3496.0,4.245294474802671,57714.0,70.08378870673953,
US - washington_dc,all,birth,24599,True,0.6734959286922332,0.6644223735643378,-59708.85494510306,665.0959165740551,23933.904083425943,246.0,665.0959165740551,36.985642802786664,0.0013518759229522645,0.9145838565798105,133.59109359527096,146.06762696954868,-386.07062715213317,-0.10723754928665524,0.08053742953410356,0.2939460424668423,20895.936151538517,0.40118359175349755,0.3499270118799888,6.643598079502124,18.985668022052028,1842.0,7.488109272734664,508.0,2.0651245985609172,22249.0,90.44676612870443,
US - washington_dc,food_dining,birth,6029,True,0.7387000864748526,0.7135367317552425,-15543.718270287318,529.5083840215395,5499.491615978461,70.0,529.5083840215395,11.386033124179484,0.004391345032522305,-0.9977998078036804,66.87701334918181,67.02448008723212,-5070.271685330059,-0.2783889833202051,0.03986929145069977,0.35127451053165387,464.1536549133033,0.629663493851859,0.5113054659611996,4.8668152139801,9.5184103006429,313.0,5.191574058716205,159.0,2.6372532758334715,5557.0,92.17117266545033,
US - washington_dc,entertainment_recreation,birth,998,True,0.6413173264881895,0.606276120121158,-2187.1663501631447,88.73244558770767,909.2675544122924,77.0,88.73244558770767,11.247295094707223,0.004445513305997378,0.1064158394135764,0.28208432371331427,2.650773844079891,-1.0430576715219047,-0.02822352976910996,0.10944181855696242,0.28940999496738146,1.2316915513483748,0.3176335247364914,0.4254071098477876,0.14498853130863637,0.34082300918880704,45.0,4.509018036072145,0.0,0.0,953.0,95.49098196392785,
US - washington_dc,accommodation_travel,birth,806,True,0.7367333767813881,0.7196965002781752,-2040.7052622882488,48.927985553861724,757.0720144461383,114.0,48.927985553861724,16.473189952051584,0.0030352348358475014,0.17988577950451412,0.16609371177286633,0.9233287491115901,-0.47852883160090187,0.05219679675681707,0.13255781452330606,0.3637232518582992,0.5354644804673078,0.31152645510148214,0.4987538475422571,0.11996262105019487,0.24052470299997233,88.0,10.918114143920596,0.0,0.0,718.0,89.08188585607941,
US - washington_dc,education_higher,birth,190,True,0.6353891313051176,0.5981812210970667,-448.58881026141245,17.501160718574603,172.4988392814254,82.0,17.501160718574603,10.856422785623941,0.004605568610151212,0.11445705919801034,0.18461648930996244,1.612975998191396,-0.749454244592728,0.047871942285706584,0.12274168626324919,0.18414525974382645,0.7531696566402811,0.13627331745811988,0.3273142927098937,0.08152379620139762,0.2490688552780494,6.0,3.1578947368421053,2.0,1.0526315789473684,182.0,95.78947368421052,
US - washington_dc,civic_community,birth,182,True,0.5746919143622911,0.5427201055417505,-357.2781962847051,12.655044463246561,169.34495553675345,103.0,12.655044463246561,14.381616795466336,0.003476660566825979,0.16120930754026513,0.1681308394735826,1.0429350639794088,-0.0681806555806175,0.06439388567034066,0.14013470196376288,0.18134874227265707,0.8754111452268007,0.11695485660231641,0.2949351247858243,0.0948302438015488,0.3215291629656269,5.0,2.7472527472527473,0.0,0.0,177.0,97.25274725274726,
US - washington_dc,other,birth,16394,True,0.6704969522120864,0.6566977185711547,-38857.671479289435,658.92611064013,15735.07388935987,164.0,658.92611064013,24.879876112472832,0.0020096563091378857,-0.03270298371994236,15.933968073053084,487.232853415039,-1196.548471896246,-0.10773754130495844,0.08778812446234718,0.32875581128490383,742.4453514462379,0.43649335258986227,0.14303223845660373,19.97952396932263,139.6854596202412,880.0,5.367817494205197,307.0,1.8726363303647675,15207.0,92.75954617543003,
